,datetime,load_area,mkt_region,zone,mw,dt,md,wday,mw_norm
43,1/1/24 1:00,EASTON,MIDATL,DPL,27.13,2024-01-01 01:00:00,"(1, 1)",Monday,-0.9269413969939447
44,1/1/24 1:00,EKPC,WEST,EKPC,1823.288,2024-01-01 01:00:00,"(1, 1)",Monday,-0.2631760630241946
45,1/1/24 1:00,JC,MIDATL,JC,2102.541,2024-01-01 01:00:00,"(1, 1)",Monday,-1.1631036531370902
46,1/1/24 1:00,ME,MIDATL,ME,1398.139,2024-01-01 01:00:00,"(1, 1)",Monday,-2.10546917704503
47,1/1/24 1:00,OE,WEST,ATSI,5915.264,2024-01-01 01:00:00,"(1, 1)",Monday,-1.9563061869797393
49,1/1/24 1:00,PAPWR,WEST,ATSI,410.807,2024-01-01 01:00:00,"(1, 1)",Monday,-2.477866242721271
50,1/1/24 1:00,PE,MIDATL,PE,3725.909,2024-01-01 01:00:00,"(1, 1)",Monday,-1.4628633144041672
51,1/1/24 1:00,PEPCO,MIDATL,PEP,2369.466,2024-01-01 01:00:00,"(1, 1)",Monday,-1.1368706339471932
52,1/1/24 1:00,PLCO,MIDATL,PL,3861.89,2024-01-01 01:00:00,"(1, 1)",Monday,-1.8553668698839472
53,1/1/24 1:00,PN,MIDATL,PN,1608.318,2024-01-01 01:00:00,"(1, 1)",Monday,-1.9830458387842236
54,1/1/24 1:00,PS,MIDATL,PS,4120.482,2024-01-01 01:00:00,"(1, 1)",Monday,-1.295012950218301
55,1/1/24 1:00,RECO,MIDATL,RECO,129.771,2024-01-01 01:00:00,"(1, 1)",Monday,-1.2533219928833976
56,1/1/24 1:00,SMECO,MIDATL,PEP,436.38,2024-01-01 01:00:00,"(1, 1)",Monday,-0.3915464481406075
57,1/1/24 1:00,UGI,MIDATL,PL,106.668,2024-01-01 01:00:00,"(1, 1)",Monday,-1.6374483786853093
58,1/1/24 1:00,VMEU,MIDATL,AE,63.859,2024-01-01 01:00:00,"(1, 1)",Monday,-1.3027812589934253
59,1/1/24 1:00,RTO,RTO,RTO,80922.757,2024-01-01 01:00:00,"(1, 1)",Monday,-1.32207206206209
60,1/1/24 2:00,AECO,MIDATL,AE,880.426,2024-01-01 02:00:00,"(1, 1)",Monday,-0.7941336773078247
61,1/1/24 2:00,AEPAPT,WEST,AEP,4225.935,2024-01-01 02:00:00,"(1, 1)",Monday,-0.8351944181740035
62,1/1/24 2:00,AEPIMP,WEST,AEP,2493.474,2024-01-01 02:00:00,"(1, 1)",Monday,-2.2632117901544286
63,1/1/24 2:00,AEPKPT,WEST,AEP,676.149,2024-01-01 02:00:00,"(1, 1)",Monday,-0.5963689778780155
64,1/1/24 2:00,AEPOPT,WEST,AEP,5922.184,2024-01-01 02:00:00,"(1, 1)",Monday,-1.457074917380704
65,1/1/24 2:00,AP,WEST,AP,5099.065,2024-01-01 02:00:00,"(1, 1)",Monday,-1.3879739443250025
66,1/1/24 2:00,BC,MIDATL,BC,3039.451,2024-01-01 02:00:00,"(1, 1)",Monday,-1.2267716972994613
67,1/1/24 2:00,CE,WEST,CE,8984.907,2024-01-01 02:00:00,"(1, 1)",Monday,-1.3319307404448617
68,1/1/24 2:00,DAY,WEST,DAY,1667.0,2024-01-01 02:00:00,"(1, 1)",Monday,-1.5251023315287033
69,1/1/24 2:00,DEOK,WEST,DEOK,2657.225,2024-01-01 02:00:00,"(1, 1)",Monday,-1.0070272146225046
70,1/1/24 2:00,DOM,SOUTH,DOM,13325.136,2024-01-01 02:00:00,"(1, 1)",Monday,-0.6629483948637604
71,1/1/24 2:00,DPLCO,MIDATL,DPL,1881.424,2024-01-01 02:00:00,"(1, 1)",Monday,-1.057146840866674
72,1/1/24 2:00,DUQ,WEST,DUQ,1300.502,2024-01-01 02:00:00,"(1, 1)",Monday,-1.5973548669835762
73,1/1/24 2:00,EASTON,MIDATL,DPL,27.119,2024-01-01 02:00:00,"(1, 1)",Monday,-0.9286585746663494
74,1/1/24 2:00,EKPC,WEST,EKPC,1786.905,2024-01-01 02:00:00,"(1, 1)",Monday,-0.3390741953220223
75,1/1/24 2:00,JC,MIDATL,JC,2030.133,2024-01-01 02:00:00,"(1, 1)",Monday,-1.3841310765811148
76,1/1/24 2:00,ME,MIDATL,ME,1359.203,2024-01-01 02:00:00,"(1, 1)",Monday,-2.2755320890038333
77,1/1/24 2:00,OE,WEST,ATSI,5804.167,2024-01-01 02:00:00,"(1, 1)",Monday,-2.1093497978083655
79,1/1/24 2:00,PAPWR,WEST,ATSI,403.841,2024-01-01 02:00:00,"(1, 1)",Monday,-2.575391774908534
80,1/1/24 2:00,PE,MIDATL,PE,3642.788,2024-01-01 02:00:00,"(1, 1)",Monday,-1.6127396307061803
81,1/1/24 2:00,PEPCO,MIDATL,PEP,2311.989,2024-01-01 02:00:00,"(1, 1)",Monday,-1.270710463705903
82,1/1/24 2:00,PLCO,MIDATL,PL,3793.866,2024-01-01 02:00:00,"(1, 1)",Monday,-1.9651956074586605
